iter	Passed	Remaining
0	141	141728
1	142	71071
2	142	47507
3	143	35719
4	143	28649
5	144	23933
6	144	20565
7	145	18040
8	146	16085
9	146	14516
10	147	13234
11	147	12164
12	148	11255
13	148	10478
14	149	9805
15	150	9252
16	151	8736
17	151	8273
18	152	7870
19	153	7507
20	153	7171
21	154	6864
22	155	6585
23	155	6331
24	156	6095
25	156	5875
26	157	5670
27	157	5481
28	158	5305
29	158	5140
30	159	4986
31	160	4841
32	160	4706
33	161	4581
34	161	4461
35	162	4347
36	162	4239
37	163	4136
38	163	4040
39	164	3947
40	165	3860
41	165	3777
42	166	3699
43	166	3623
44	167	3550
45	167	3481
46	168	3416
47	169	3353
48	169	3292
49	170	3233
50	170	3176
51	171	3122
52	171	3070
53	172	3019
54	172	2970
55	173	2924
56	174	2878
57	174	2835
58	175	2794
59	175	2754
60	176	2714
61	176	2676
62	177	2638
63	177	2602
64	178	2567
65	179	2533
66	179	2500
67	180	2469
68	180	2438
69	181	2408
70	181	2380
71	182	2353
72	183	2326
73	184	2302
74	184	2277
75	185	2253
76	186	2230
77	186	2210
78	187	2186
79	188	2165
80	188	2143
81	189	2122
82	189	2098
83	190	2077
84	191	2057
85	191	2037
86	192	2018
87	193	2000
88	193	1981
89	194	1963
90	194	1946
91	195	1929
92	196	1913
93	196	1897
94	197	1881
95	198	1865
96	198	1850
97	199	1835
98	199	1820
99	200	1806
100	201	1791
101	201	1777
102	202	1763
103	203	1750
104	203	1737
105	204	1725
106	205	1712
107	205	1700
108	206	1688
109	207	1676
110	207	1665
111	208	1654
112	209	1643
113	210	1633
114	210	1622
115	211	1611
116	211	1599
117	212	1589
118	213	1578
119	213	1568
120	214	1558
121	215	1549
122	215	1539
123	216	1530
124	217	1521
125	218	1512
126	218	1502
127	219	1493
128	220	1488
129	221	1480
130	221	1471
131	222	1463
132	223	1454
133	223	1446
134	224	1437
135	225	1429
136	225	1421
137	226	1413
138	227	1406
139	227	1398
140	228	1391
141	228	1382
142	229	1375
143	230	1367
144	230	1360
145	231	1353
146	232	1346
147	232	1339
148	233	1332
149	233	1325
150	234	1318
151	235	1312
152	235	1306
153	236	1299
154	237	1293
155	237	1287
156	238	1281
